"","DMD_1_H","DMD_2_H","DMD_3_H","DMD_4_H","DMD_5_H","DMD_6_H","DMD_7_H","DMD_8_H","DMD_9_H","DMD_10_H","DMD_11_H","DMD_12_H","NOR_1_H","NOR_2_H","NOR_3_H","NOR_4_H","NOR_5_H","NOR_6_H","NOR_7_H","NOR_8_H","NOR_9_H","NOR_10_H","NOR_11_H","NOR_12_H"
"ENSG00000144711",1213.15,1621.1,2022.85,1207.65,1576.85,1827.7,2063.9,1662.3,1484.2,1274,1542.65,1753.65,2622.1,1534.4,1895.5,2064.25,1449.6,1763.35,1317.6,1941.8,2021.2,1526.95,2073.75,83.8
"ENSG00000105058",1794.4,1851,1580.8,2571.7,2693.1,1900.6,1726.8,2779.5,1342.5,2327.7,1837.3,1747.8,1214.5,1253.3,1892.4,1406,2020,1093.5,1765.9,721.8,1153.1,1544,1531.5,39.9
"ENSG00000015676",217,216.4,228.2,349,302.2,266.6,249.1,683.2,172.9,366.3,182.6,612.8,257.8,167.3,429.6,292.2,376.4,470,198.7,112.8,262,166.7,651.5,6.9
"ENSG00000162736",9000.8,9187.3,8809,10684.7,5239.9,6893.1,10048,5786.6,6181.3,5240,5508.9,5839.2,8274,6357.3,9197.1,6785.9,6934.9,7453.9,5603,7286.9,7860.9,8281.8,6084.8,285.3
"ENSG00000108774",4471.9,1868.6,1915,1818.4,1671.5,2553.4,2504.7,2088.9,2242.7,1626.2,1554.4,725.7,1730.1,1209.2,1873.2,2249.7,1479.1,2684.1,1672.6,2101.4,2231.4,1589.5,1589,43
"ENSG00000100014",549.5,794.9,357.8,709.8,860.1,522.3,851.5,797.1,829.1,925.1,903.4,889.4,691.1,794.5,654.1,742.2,508.4,436.4,1030.6,963.2,525.1,735.4,766.3,25.8
"ENSG00000119471",352.6,331.3,359,85.7,106.4,259.6,531.7,270.5,438.9,358.6,305.4,383,514.2,325,490.5,505.7,395,367.4,329.9,289.8,453,576.2,549.6,29.5
"ENSG00000107959",2537.3,4993.5,1971.4,5245.2,4695.1,4019.5,1404.6,5042.9,2497.3,3068.5,2532.2,3050.9,4620.8,4164.5,4625.7,5927,3725.1,4281.9,4298.5,4744.9,4884.9,3258,2515.7,142.1
"ENSG00000164300",538.7,365.8,366.9,383.8,575.7,336,379.8,283.9,649.5,1042.4,302.1,597.3,173.2,396.5,248.8,298.8,245.9,230,286.8,244.5,249,248.4,57.4,13.8
"ENSG00000184110",20396.9,20754,11877.2,23508.3,21869.8,23377.5,9229.8,18035.7,14210.8,12401.8,27752.8,9536,14348.6,19076.7,16728.4,24346.2,25671.3,22596.4,25489,25614.2,18238,15382.1,21842.1,837.2
"ENSG00000128739",9427.6,8808.8,11955.2,15847.3,17636.2,10850.8,8758,15745.2,11543.7,13460.8,10777,11510,8984.8,5093.3,8230.1,7925.3,7469.3,8693.7,5957.5,5136,8266.6,13120.8,6931.1,332.7
"ENSG00000101493",193.1,263.45,161.75,518.3,359.6,327.4,355.3,475.95,202.1,357.55,218,249.4,425.45,447.9,347.6,302.45,164.1,302.1,306.6,262.75,268.05,408.6,635.15,7.95
"ENSG00000100347",2798.2,4644.8,4933.3,3884.7,4587.8,3736.5,4764,4211,2334.8,2276.3,4094.1,3438.1,8636.9,6228.3,8898.2,6321.4,5277,7398.6,7577.5,8478,5920.4,5605.4,6533,287.6
"ENSG00000058404",1632.35,1957.1,1491.95,1380.4,1145.9,1798,1949.1,2206.55,1960.1,1382.35,1662.8,1826.65,1984.25,1795,1595.35,1927.5,1365.05,2136.7,1832.1,2278.4,2016.15,1489.85,1732.1,39.5
"ENSG00000079459",695.8,857.2,1221,1539.5,1083.9,1101.1,915,1031.3,1301.9,1415.1,1620,1137.6,1559.3,1328.4,1327.7,1360.2,1710.7,1854.9,1680.5,1584.6,1537.7,2100.3,2327.7,54.9
"ENSG00000031698",3682.8,5976.4,4723,6033.1,4561.1,4915.2,3774,5247.9,5038.1,3901.8,4717.2,5059.4,4123,4079.2,5446.5,3887.8,4459.3,4111.7,4952.7,5518,4694.5,3912.1,3501.6,199.4
"ENSG00000170035",4494.5,6249.5,5196.9,7197,8881.3,7306.6,7512,7696.6,4394.5,6562.1,8131.5,5881.9,12902.8,8608.8,11828.3,9507.8,9650.9,11301.5,7851.8,7857.6,11931.5,8047.3,8304.8,283.1
"ENSG00000087586",342.75,400.95,560.35,444.45,443.85,268.3,539.55,477.45,417.4,398.15,628.55,485.25,191.4,393.4,340.75,437.9,330.2,237.7,525.85,318.1,366.6,664.2,304.55,14.05
"ENSG00000185070",1627.8,2380.6,2935.9,4248.3,3476.3,2040.3,2726.1,3872.9,2750.7,4859.3,3840.3,3657.1,1472.8,3980.2,1537.6,2154.8,1364.6,2300.1,3065.5,1090.5,1835.2,2207.6,2356.5,155.4
